month,date,rank,candidate,designation,year_or_period,tradition,source_witnesses,source_tier,preliminary_status,ranking_rationale,review_flags,decision_status,final_primary,notes
February,02-01,1,Brigid of Kildare,Monastic / Abbess,c. 523,Anglican-received / Irish,BCP; LFF; HWHM; GCW; AM; SEC transfer witness,BCP / Current TEC / Broad Anglican,Strong candidate,Current LFF and broad Anglican reception; major Irish monastic and works-of-mercy witness.,SEC 2026 transfer artifact; source verification,Pending,,SEC 2026 transfers Bride/Brigid to Feb 4 because Feb 1 is Sunday.
February,02-01,2,Brigid of Kildare / Bride of Kildare,Abbess,c. 525,Anglican / Scottish-Irish,SEC transferred from Feb 1,Provincial Anglican transfer,Review / date harmonization,Same identity as Feb 1 Brigid; SEC transfer form should not be treated as fixed date.,SEC transfer artifact,Pending,,Keep as source-form note, not separate saint.
February,02-02,1,The Presentation of Our Lord Jesus Christ in the Temple,Feast of Our Lord / Marian-associated feast,,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Major Prayer Book/LFF feast; uncontested primary candidate on this date.,none,Pending,,
February,02-02,2,Cornelius the Centurion,Biblical convert,1st century,Biblical / Anglican-received,AM; BCP on Feb 4; HWHM/GCW on Feb 7; LFF on Oct 20,Anglican martyrology / source-date variants,Review / date harmonization,Biblical Gentile-inclusion witness; current LFF places Cornelius on Oct 20.,date harmonization with Feb 4 Feb 7 and Oct 20,Pending,,
February,02-03,1,Anskar,Archbishop of Hamburg-Bremen and Missionary to Denmark and Sweden,865,Anglican-received / Western,BCP; LFF; FAS; AM,BCP / Current TEC / Provincial Anglican,Strong candidate,Prayer Book/LFF missionary bishop and apostle of Scandinavia; strong ecclesial missionary witness.,none,Pending,,
February,02-03,2,The Dorchester Chaplains,Chaplains and martyrs,1943,Anglican-received / ecumenical Christian,HWHM; GCW,TEC secondary,Review,Strong self-offering witness but modern military/war and ecumenical group form require careful framing.,modern/war context; group entry,Pending,,
February,02-03,3,Blaise of Sebaste,Bishop and martyr,316,Greater Church / Armenian-Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Ancient episcopal martyr with broad devotional reception; lower Anglican source priority than Anskar.,legendary material review; Greater Church remembers,Pending,,
February,02-03,4,Seiriol,Abbot,6th century,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Usable,Welsh monastic founder; useful Anglican-family alternate.,source verification,Pending,,
February,02-04,1,Manche Masemola,Martyr,1928,Anglican-received / South African,LFF,Current TEC/LFF,Strong candidate with review,Current LFF martyrial witness; strong African Christian lay witness.,modern review; colonial/mission context,Pending,,
February,02-04,2,Cornelius the Centurion,Biblical convert,1st century,Biblical / Anglican-received,BCP; AM; HWHM/GCW on Feb 7; LFF on Oct 20,BCP date variant / Anglican martyrology,Review / date harmonization,BCP date form retained; current LFF places Cornelius on Oct 20.,date harmonization with Feb 2 Feb 7 and Oct 20,Pending,,
February,02-04,3,Gilbert of Sempringham,Priest and monastic founder,1189,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,English founder of the Gilbertine order and strong religious-life witness; good Anglican-family alternate.,source verification,Pending,,
February,02-04,4,Brigid of Kildare,Abbess,c. 523,Anglican-received / Irish,SEC transfer from Feb 1,Provincial Anglican transfer,Review / date harmonization,SEC 2026 transferred Brigid from Feb 1; do not treat Feb 4 as fixed date.,SEC transfer artifact,Pending,,
February,02-05,1,Agatha of Sicily,Martyr,c. 251,Anglican-received Great Church,LFF; AM; Oxford Dictionary of Saints,Current TEC/LFF / Great Church,Strong candidate,Current LFF ancient martyrial witness; strong Great Church reception.,legendary material handled honestly,Pending,,
February,02-05,2,The Martyrs of Japan,Martyrs,1597,Anglican-received Roman Catholic,BCP date variant; LFF on Feb 6; HWHM/GCW Feb 6; SEC Feb 6; AM Feb 6,BCP date variant / Current TEC date elsewhere,Review / date harmonization,BCP older date conflicts with current LFF Feb 6 form; retain source-form visibility.,date harmonization with Feb 6,Pending,,
February,02-05,3,Roger Williams and Anne Hutchinson,Prophetic Witnesses,1683 and 1643,Anglican-received dissenting Protestant,HWHM; GCW,TEC secondary,Review,Religious-liberty/dissent witness is significant but directly triggers Protestant/non-Anglican and social-impact caution.,Protestant/non-Anglican review; social-impact caution; group entry,Pending,,
February,02-06,1,The Martyrs of Japan / Paul Miki and Companions,Martyrs,1597,Anglican-received Roman Catholic,LFF; HWHM; GCW; SEC; AM; BCP date variant Feb 5,Current TEC/LFF / TEC secondary / Broad Anglican,Strong candidate,Current LFF and broad Anglican reception; strong martyrial witness in Japan.,mission/colonial context; date harmonization with Feb 5,Pending,,
February,02-06,2,Vedast of Arras,Bishop,539,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Missionary bishop associated with Frankish conversion; lower priority than Japan martyrs.,Greater Church remembers; source verification,Pending,,
February,02-07,1,Cornelius the Centurion,Biblical convert,1st century,Biblical / Anglican-received,HWHM; GCW; BCP on Feb 4; LFF on Oct 20; AM Feb 2/4,TEC secondary / date variant,Review / date harmonization,TEC secondary source form; current LFF places Cornelius on Oct 20; retain for harmonization only.,date harmonization with Feb 2 Feb 4 and Oct 20,Pending,,
February,02-07,2,Richard of Wessex,Pilgrim and father of saints,720,Anglican / English,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Usable,English pilgrim and family-holiness witness; possible fallback on a blank current-LFF day.,source verification; hagiographic family framing,Pending,,
February,02-08,1,Bakhita (Josephine Margaret Bakhita),Monastic,1947,Roman Catholic / Anglican-received,LFF,Current TEC/LFF,Strong candidate with review,Current LFF; powerful witness of liberation forgiveness religious life and holiness after enslavement.,modern review; trauma/enslavement context; Greater Church remembers,Pending,,
February,02-08,2,Jerome Emiliani,Religious founder / worker of mercy,1537,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Works-of-mercy and care for orphaned children; lower priority than current LFF Bakhita.,Greater Church remembers,Pending,,
February,02-08,3,Ælfflæd of Whitby,Abbess,714,Anglican / Northumbrian,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Abbess of Whitby and successor in Hilda’s monastic tradition; strong Anglican-family alternate.,source verification,Pending,,
February,02-09,1,Apollonia of Alexandria,Deaconess and Martyr,249,Greater Church / Egyptian,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong candidate,Ancient Alexandrian martyrial witness on a blank current-LFF day.,legendary material review; Greater Church remembers,Pending,,
February,02-09,2,Teilo,Bishop,6th century,Anglican / Welsh,AM; Oxford Dictionary of Saints,Anglican martyrology / Welsh witness,Strong alternate,Welsh episcopal and monastic witness; good Anglican-family alternate.,source verification; legendary material review,Pending,,
February,02-10,1,Scholastica,Monastic,543,Anglican-received Great Church,LFF; FAS; SEC; AM; Oxford Dictionary of Saints,Current TEC/LFF / Provincial Anglican / Great Church,Strong candidate,Current LFF; monastic love and holy friendship with Benedict give strong hagiographical substance.,none,Pending,,
February,02-10,2,William of Maleval,Hermit,1157,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Eremitic penitential witness; lower source priority than Scholastica.,Greater Church remembers; source verification,Pending,,
February,02-11,1,The Consecration of Barbara Clementine Harris,Ecclesial event / first woman bishop in the Anglican Communion,1989,Anglican,LFF,Current TEC/LFF,Strong candidate with genre review,Current LFF source authority; major Anglican ecclesial event tied to episcopal vocation and witness.,ecclesial-event genre review; modern review,Pending,,
February,02-11,2,Fanny Crosby,Hymnwriter,1915,Anglican-received Methodist/Baptist,HWHM; GCW,TEC secondary,Review,Hymnwriter with deep devotional impact; must be framed as prayer/discipleship rather than cultural productivity.,hymnwriter holiness test; Protestant/non-Anglican review,Pending,,
February,02-11,3,Cædmon,Poet and monastic,680,Anglican / Northumbrian,AM; Oxford Dictionary of Saints,Anglican martyrology / English calendar witness,Strong alternate,Northumbrian vernacular sacred poet and lay-monastic witness; strong Anglican-family alternate.,poet holiness framing; source verification,Pending,,
February,02-12,1,Theodora the Empress,Empress / Restorer of Icons,c. 867,Eastern Orthodox / Anglican-received,LFF; AM,Current TEC/LFF / Anglican martyrology,Strong candidate with review,Current LFF; iconophile and ecclesial-restoration witness with Eastern Christian resonance.,ruler-saint review; iconoclasm context; Greater Church remembers,Pending,,
February,02-12,2,Charles Freer Andrews,Priest and Friend of the Poor in India,1940,Anglican,HWHM; GCW,TEC secondary,Strong alternate,Anglican priestly witness of friendship with India’s poor and anti-imperial solidarity; strong alternate below current LFF.,modern review; social-impact caution; colonial context,Pending,,
February,02-12,3,Meletius of Antioch,Bishop,381,Greater Church / Eastern,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Usable,Pastoral bishop seeking healing amid Arian schism; good Great Church alternate.,Greater Church remembers; schism/context,Pending,,
February,02-13,1,Absalom Jones,Priest,1818,Anglican,BCP; LFF; HWHM; GCW,BCP / Current TEC / TEC secondary,Strong candidate with review,Prayer Book/LFF Anglican priest and Black Episcopal witness; source authority and priestly holiness are strong.,race/social-impact context; priestly holiness framing,Pending,,
February,02-13,2,Jordan of Saxony,Dominican master general,1237,Roman Catholic / Greater Church,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Early Dominican leader preacher and spiritual correspondent; strong Great Church alternate.,Greater Church remembers; source verification,Pending,,
February,02-14,1,Cyril and Methodius,Missionaries to the Slavs,869 and 885,Anglican-received Great Church,BCP; LFF; HWHM; GCW; FAS; SEC; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Broad Anglican and Great Church reception; missionary translation and liturgical inculturation witness.,none,Pending,,
February,02-14,2,Valentine of Rome / Valentine traditions,Martyr,3rd century,Greater Church / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Review,Ancient martyr traditions are heavily conflated and later cultural reception dominates; lower priority than Cyril and Methodius.,legendary/source confusion; Greater Church remembers,Pending,,
February,02-15,1,Thomas Bray,Priest and Missionary,1730,Anglican,BCP; LFF; HWHM; GCW; FAS; SEC transfer; AM,BCP / Current TEC / Broad Anglican,Strong candidate,Prayer Book/LFF Anglican priest missionary and founder of SPG/SPCK; strong church-service witness.,SEC 2026 transfer artifact,Pending,,SEC 2026 transfers Thomas Bray to Feb 16 because Feb 15 is Sunday.
February,02-15,2,Sigfrid of Sweden,Missionary bishop / apostle of Sweden,c. 1045,Anglican-received / Western,AM; Oxford Dictionary of Saints,Anglican martyrology / Great Church,Strong alternate,Missionary bishop and Swedish apostolic witness; good alternate if Bray is redistributed.,Greater Church remembers; source verification,Pending,,
February,02-16,1,Charles Todd Quintard,Bishop of Tennessee,1898,Anglican,HWHM; GCW,TEC secondary,Strong candidate,Anglican bishop on TEC secondary calendars; Anglican-bishop rule supports inclusion on a blank current-LFF day.,Anglican bishop rule; Civil War/context review,Pending,,
February,02-16,2,Thomas Bray,Priest and Missionary,1730,Anglican,SEC transfer from Feb 15; BCP/LFF Feb 15,Provincial Anglican transfer / Current TEC date elsewhere,Review / date harmonization,SEC 2026 transferred Thomas Bray from Feb 15; fixed BCP/LFF date remains Feb 15.,SEC transfer artifact; date harmonization with Feb 15,Pending,,
February,02-16,3,Onesimus,Companion of Paul / biblical figure,1st century,Biblical / Great Church,AM; Oxford Dictionary of Saints,Anglican martyrology / biblical commemoration,Review,Biblical figure from Philemon; requires careful handling of slavery and source tradition.,biblical-date strategy; slavery-text handling; Greater Church remembers,Pending,,
